user_account,days_over_50_tweets,days_hour_ge_6_tweets,total_days_over_limit
FxElizabeth_1,0,2,2
Fx_bulls_,0,1,1
Fxempire_,0,1,1
GARVEL420,0,1,1
GENERAL 2.0 🐷🐸🟪,0,1,1
GEnergman11119,0,1,1
GGonzalo,0,1,1
GIN_TROPICAL,0,1,1
GOLD_TRADER322,1,1,2
GP2BTC,0,1,1
GPROtrading,7,9,16
GSPepe2002,0,2,2
GabrielFabio70,0,2,2
GainsByGavinG,0,2,2
Galadimahabuxy,0,1,1
GammieloveMMO,0,1,1
GazanferBulutt,0,1,1
Geerinck9,0,1,1
GemSpunker,0,1,1
Gemz 🦄💨✨,0,4,4
Gen Tuu 🦦💯,0,2,2
GenSKG,0,1,1
GentaJohny,0,1,1
GeoffroyLeonard,0,1,1
Geolobo12,0,1,1
George_edward_1,0,12,12
Georgefr21,0,1,1
GettingCooked,0,1,1
GhostTabber,0,1,1
GhostWhale24,0,4,4
GinoGino992,0,1,1
GinoTheRealest,0,1,1
Gio53219648,0,1,1
GironaJere89177,0,3,3
GiyitCom,0,1,1
GizaSantu,0,1,1
Glen Quagmires Crypto,0,1,1
GlobaGlobal24,0,1,1
GlydoAlerts,0,2,2
Gmextradingkt,0,13,13
Gnoticer7,0,1,1
GodOfRug,0,1,1
Godwinvibe1,0,1,1
Goku Calls,0,1,1
Goldenboygov,0,1,1
Goldenellessar,0,1,1
GonGolden,0,1,1
GondkarPushkar,0,1,1
GoneFishin8gain,0,5,5
Goodlife697,0,3,3
Goodluck464992,1,8,9
Goodwhills Stock,0,4,4
Gorju21,0,1,1
GorketteAI,0,1,1
GproTrad,43,69,112
Gprohoyy,2,2,4
Gramski12,0,1,1
Grandmaster300,2,6,8
GregorPepe,0,8,8
Greyolodotcom,0,8,8
Grok,0,1,1
GrouchyProducts,0,3,3
Growmint_HQ,0,1,1
GuiTo_ETH,0,1,1
Guzeltia,0,1,1
HPepe37661,0,1,1
HabibHa40518752,0,1,1
Haip_er,0,1,1
HallwoodJon,0,1,1
Halston__Gray,0,1,1
HankMullaney,0,9,9
HankingLatonya,0,1,1
HannqverF,0,2,2
Harper Taylor,0,1,1
HarunDemir67041,0,3,3
Heaven_Daney,0,1,1
Hedera_Pepe,0,1,1
HelpenstellGina,0,1,1
Henrique_S_B_O,0,2,2
HenryMateo155,0,2,2
HerikJimenez,0,9,9
HiKARUD_FXXK,0,1,1
Hiba_sameera,0,1,1
HieroSmoke,0,1,1
HilainD,0,1,1
Himel_b33,0,11,11
Himel_bitcoin_crypto,0,7,7
Hoffi87668058,0,1,1
Hoffman_581,0,4,4
Hofsfreyja,0,1,1
HomelanderPepe,0,1,1
HoneyButta02,5,8,13
HoppyIsaG,0,1,1
Horton_A7,1,27,28
Hsdk626,0,3,3
HugoBarber13,0,1,1
Hugo_Razvan,0,4,4
HulkSmash_0,0,1,1
Hulk_Xrp_,0,1,1
HunterCripto_,0,1,1
Hunters_iphone,0,1,1
Hussain46373,0,1,1
Hutchinson_333,0,9,9
I Find Woke Tweets,0,2,2
IAMYellowCake,0,1,1
IPostCrypto,0,1,1
IPpurveyor,0,1,1
IacobXd,0,1,1
Iamjustjason913,0,2,2
Ic3WND,0,1,1
IcManic ∞,0,1,1
IdeatorYas,0,4,4
Ikafnix,0,1,1
IkerVck,0,1,1
IknowtruthQ,0,1,1
ImMeBlackShib,0,2,2
ImTheBrain,0,1,1
